OBJECTID,Orszag_nev,Telepules_nev,Telepulesresz_nev,Tortenelmi_varosresz_nev,Fekves,Helyrajziszam_teljes,Helyrajziszam_egyedi,Muvelesiag,Utcanev,Utcanev_telek,Kozut_szama,Vasut_szama,Hazszam_telek,Vedett_terulet_nev,Vedett_terulet_kategoria,Natura2000_SCI_kod,Natura2000_SCI_nev,Natura2000_SPA_kod,Natura2000_SPA_nev,Dulo_OEM_borvidek_nev,Dulo_OEM_kod,Dulo_OEM_nev,Epuletenergetikai_tombazonosito,Tortenelmi_varosresz_nev_modositott,Iranyitoszam,KSH_korzet,Postacim_rovid,Shape_Length,Shape_Area
91971,Magyarország,Szarvaskő,,,zártkert,532,HUN_Szarvaskő_532,kert,,Csehi utca,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,161.44529657169636,994.769999917522
91972,Magyarország,Szarvaskő,,,zártkert,533/1,HUN_Szarvaskő_533/1,kert,,Csehi utca,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,144.66180215659477,795.3850000261888
91973,Magyarország,Szarvaskő,,,zártkert,533/2,HUN_Szarvaskő_533/2,kert,,Csehi utca,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,137.6720727148981,851.2450000404566
91974,Magyarország,Szarvaskő,,,zártkert,534,HUN_Szarvaskő_534,kert,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,196.65324027048067,1311.5999998502434
91975,Magyarország,Szarvaskő,,,zártkert,535,HUN_Szarvaskő_535,gyümölcsös,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,151.67056932911441,1197.1149999792128
91976,Magyarország,Szarvaskő,,,zártkert,536,HUN_Szarvaskő_536,gyümölcsös,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,174.98496780059082,1886.2649999536945
91977,Magyarország,Szarvaskő,,,zártkert,537,HUN_Szarvaskő_537,gyümölcsös,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,189.37563897554048,1944.0100000606476
91978,Magyarország,Szarvaskő,,,zártkert,538,HUN_Szarvaskő_538,kert,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,138.10228098721973,1166.5949999268353
91979,Magyarország,Szarvaskő,,,zártkert,539,HUN_Szarvaskő_539,szántó,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,144.45163309717174,1199.4800000271575
91980,Magyarország,Szarvaskő,,,zártkert,540,HUN_Szarvaskő_540,szántó,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,165.45274461666915,1757.3749999614433
91981,Magyarország,Szarvaskő,,,zártkert,541,HUN_Szarvaskő_541,szántó,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,186.95802608544656,1748.4150000794232
91982,Magyarország,Szarvaskő,,,zártkert,542/1,HUN_Szarvaskő_542/1,gyümölcsös,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,130.14321184261922,824.950000020489
91983,Magyarország,Szarvaskő,,,zártkert,542/2,HUN_Szarvaskő_542/2,gyümölcsös,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,135.80847057036527,898.3250000216067
91984,Magyarország,Szarvaskő,,,zártkert,543/1,HUN_Szarvaskő_543/1,kert,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,160.87802401002517,1119.8449999594313
91985,Magyarország,Szarvaskő,,,zártkert,543/3,HUN_Szarvaskő_543/3,szántó,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,135.18205618998525,874.1899999618903
91986,Magyarország,Szarvaskő,,,zártkert,543/4,HUN_Szarvaskő_543/4,szántó,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,122.17026961650281,875.2499999664724
91987,Magyarország,Szarvaskő,,,zártkert,543/5,HUN_Szarvaskő_543/5,szántó,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,118.88077192024389,874.445100000476
91988,Magyarország,Szarvaskő,,,zártkert,543/6,HUN_Szarvaskő_543/6,szántó,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,106.81552994356792,656.6800000184029
91989,Magyarország,Szarvaskő,,,zártkert,543/7,HUN_Szarvaskő_543/7,szántó,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,109.0483889465444,657.3549999796599
91990,Magyarország,Szarvaskő,,,zártkert,543/8,HUN_Szarvaskő_543/8,művelés alól kivett,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,268.1924231642581,521.114999950714
91991,Magyarország,Szarvaskő,,,zártkert,544,HUN_Szarvaskő_544,legelő,,Csehi utca,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,200.99476026511294,1887.3651684463857
91992,Magyarország,Szarvaskő,,,zártkert,545/1,HUN_Szarvaskő_545/1,kert,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,141.23560975020652,848.940000042729
91993,Magyarország,Szarvaskő,,,zártkert,545/2,HUN_Szarvaskő_545/2,kert,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,150.04344922754893,817.9749999633059
91994,Magyarország,Szarvaskő,,,zártkert,545/3,HUN_Szarvaskő_545/3,kert,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,138.67786585306655,755.514999954626
91995,Magyarország,Szarvaskő,,,zártkert,545/4,HUN_Szarvaskő_545/4,kert,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,121.91521252073167,727.3600000647455
91996,Magyarország,Szarvaskő,,,zártkert,545/5,HUN_Szarvaskő_545/5,művelés alól kivett,,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,86.06439797535687,139.93999998107552
91997,Magyarország,Szarvaskő,,,zártkert,546,HUN_Szarvaskő_546,kert,,,,,,,,,,,,,,,,,3323,Szarvaskő,,170.89525435504402,1108.750000007823
91998,Magyarország,Szarvaskő,,,zártkert,601/1,HUN_Szarvaskő_601/1,szántó,,,,,,,,,,,,,,,,,3323,Szarvaskő,,420.7005597178567,11161.950000085679
91999,Magyarország,Szarvaskő,,,zártkert,601/10,HUN_Szarvaskő_601/10,szántó,,,,,,,,,,,,,,,,,3323,Szarvaskő,,353.61953025019307,6689.32000000991
92000,Magyarország,Szarvaskő,,,zártkert,601/11,HUN_Szarvaskő_601/11,szántó,,,,,,,,,,,,,,,,,3323,Szarvaskő,,280.53739549677096,2233.610000070147
92001,Magyarország,Szarvaskő,,,zártkert,601/12,HUN_Szarvaskő_601/12,szántó,,,,,,,,,,,,,,,,,3323,Szarvaskő,,280.4105190910898,2227.5400000227987
92002,Magyarország,Szarvaskő,,,zártkert,601/13,HUN_Szarvaskő_601/13,szántó,,,,,,,,,,,,,,,,,3323,Szarvaskő,,280.4118148925372,2230.4099999146165
92003,Magyarország,Szarvaskő,,,zártkert,601/2,HUN_Szarvaskő_601/2,szántó,,,,,,,,,,,,,,,,,3323,Szarvaskő,,280.0937820752264,2229.5399999780957
92004,Magyarország,Szarvaskő,,,zártkert,601/3,HUN_Szarvaskő_601/3,szántó,,,,,,,,,,,,,,,,,3323,Szarvaskő,,280.0937820751571,2229.540000096932
92005,Magyarország,Szarvaskő,,,zártkert,601/4,HUN_Szarvaskő_601/4,szántó,,,,,,,,,,,,,,,,,3323,Szarvaskő,,280.0942130377872,2229.7950001291183
