OBJECTID,Orszag_nev,Telepules_nev,Telepulesresz_nev,Tortenelmi_varosresz_nev,Fekves,Epulettipus,Epulet_altipus,Funkcio,Intezmenynev,Hazszam,Epulet_betujel,Helyrajziszam_teljes_epulet,Helyrajziszam_egyedi_epulet,Utcanev_epulet,Muemlek_nev,Muemlek_tipus,Muemlek_torzsszam,Epuletenergetikai_tipus,Epuletenergetikai_szintszam,Epuletenergetikai_tombazonosito,Aga_est,Abm_est,Ath_est,Ael_est,Aelcs_est,Asz_est,Aol_est,Tn_Tbr,E0,Evil,Ee_cs,Evil_cs,Tbr,Ter,Muemleki_vedettseg,Tortenelmi_varosresz_nev_modositott,Iranyitoszam,KSH_korzet,Epulet_azonosito,Hazszam_epulettomb,Epulet_szamozas_egyeb,Postacim_epulet,Shape_Length,Shape_Area
63755,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,50,,200/33,HUN_Szarvaskő_200/33,Tölgyfa utca,,,,L4,2.3,Szarvaskő_001,0.5,0.5,0,0,0,0,0,0.75,220,10,120,8,260.8889999866336,195.66674998997522,nem,,3323,Szarvaskő,Szarvaskő_00312,,,"Szarvaskő, Tölgyfa utca 50",43.23147148665612,113.42999999418855
63756,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,27,,279,HUN_Szarvaskő_279,Rózsa utca,,,,L3,1,Szarvaskő_024,0.5,0.5,0,0,0,0,0,0.75,330,10,120,8,54.47999999307096,40.85999999480322,nem,,3323,Szarvaskő,Szarvaskő_00313,,,"Szarvaskő, Rózsa utca 27",29.94463319436466,54.47999999307096
63757,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,29,,278,HUN_Szarvaskő_278,Rózsa utca,,,,L3,1.5,Szarvaskő_024,0.5,0.5,0,0,0,0,0,0.75,330,10,120,8,96.20249999877066,72.15187499907799,nem,,3323,Szarvaskő,Szarvaskő_00314,,,"Szarvaskő, Rózsa utca 29",32.04834026713028,64.13499999918044
63758,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,40,,200/48,HUN_Szarvaskő_200/48,Tölgyfa utca,,,,L4,1,Szarvaskő_001,0.5,0.5,0,0,0,0,0,0.75,220,10,120,8,113.5550000269711,85.16625002022832,nem,,3323,Szarvaskő,Szarvaskő_00315,,,"Szarvaskő, Tölgyfa utca 40",43.35607784847322,113.5550000269711
63759,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,31,,218,HUN_Szarvaskő_218,Tölgyfa utca,,,,L1,1,Szarvaskő_021,0.5,0.5,0,0,0,0,0,0.75,450,10,120,8,52.99999999348074,39.74999999511056,nem,,3323,Szarvaskő,Szarvaskő_00316,,,"Szarvaskő, Tölgyfa utca 31",29.520147740561313,52.99999999348074
63760,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,31,,277,HUN_Szarvaskő_277,Rózsa utca,,,,L3,1.5,Szarvaskő_024,0.5,0.5,0,0,0,0,0,0.75,330,10,120,8,128.73000000312925,96.54750000234694,nem,,3323,Szarvaskő,Szarvaskő_00317,,,"Szarvaskő, Rózsa utca 31",40.73576080703576,85.82000000208616
63761,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,29,,217,HUN_Szarvaskő_217,Tölgyfa utca,,,,L1,1.5,Szarvaskő_021,0.5,0.5,0,0,0,0,0,0.75,450,10,120,8,129.79500000581146,97.3462500043586,nem,,3323,Szarvaskő,Szarvaskő_00318,,,"Szarvaskő, Tölgyfa utca 29",37.21607019088076,86.5300000038743
63762,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,38,,200/27,HUN_Szarvaskő_200/27,Tölgyfa utca,,,,L1,1,Szarvaskő_001,0.5,0.5,0,0,0,0,0,0.75,450,10,120,8,123.56500000510364,92.67375000382773,nem,,3323,Szarvaskő,Szarvaskő_00319,,,"Szarvaskő, Tölgyfa utca 38",47.09998924131946,123.56500000510364
63763,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,24,,245,HUN_Szarvaskő_245,Rózsa utca,,,,L4,1.5,Szarvaskő_023,0.5,0.5,0,0,0,0,0,0.75,220,10,120,8,127.2450000186637,95.43375001399778,nem,,3323,Szarvaskő,Szarvaskő_00320,,,"Szarvaskő, Rózsa utca 24",37.98310188396443,84.83000001244247
63764,Magyarország,Szarvaskő,,,belterület,lakóépület,,,,27/a,,216/2,HUN_Szarvaskő_216/2,Tölgyfa utca,,,,L2,1.5,Szarvaskő_021,0.5,0.5,0,0,0,0,0,0.75,400,10,120,8,145.20000000447033,108.90000000335274,nem,,3323,Szarvaskő,Szarvaskő_00321,,,"Szarvaskő, Tölgyfa utca 27/a",39.92617111642686,96.80000000298023
