OBJECTID;Orszag_nev;Telepules_nev;Telepulesresz_nev;Tortenelmi_varosresz_nev;Fekves;Helyrajziszam_teljes;Helyrajziszam_egyedi;Muvelesiag;Utcanev;Utcanev_telek;Kozut_szama;Vasut_szama;Hazszam_telek;Vedett_terulet_nev;Vedett_terulet_kategoria;Natura2000_SCI_kod;Natura2000_SCI_nev;Natura2000_SPA_kod;Natura2000_SPA_nev;Dulo_OEM_borvidek_nev;Dulo_OEM_kod;Dulo_OEM_nev;Epuletenergetikai_tombazonosito;Tortenelmi_varosresz_nev_modositott;Iranyitoszam;KSH_korzet;Postacim_rovid;Shape_Length;Shape_Area
91372;Magyarország;Szarvaskő;;;belterület;154;HUN_Szarvaskő_154;művelés alól kivett;;Borsod utca;;;6-8;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_003;;3323;Szarvaskő;;151,650918025257510;841,299999975599120
91373;Magyarország;Szarvaskő;;;belterület;158;HUN_Szarvaskő_158;művelés alól kivett;;Borsod utca;;;10;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_003;;3323;Szarvaskő;;96,275998990987517;515,525000015273690
91374;Magyarország;Szarvaskő;;;belterület;159;HUN_Szarvaskő_159;művelés alól kivett;;Borsod utca;;;12;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_003;;3323;Szarvaskő;;113,275834290657130;540,104999933280170
91375;Magyarország;Szarvaskő;;;belterület;16;HUN_Szarvaskő_16;művelés alól kivett;;Fő utca;;;18;;;;;;;;;;Szarvaskő_007;;3323;Szarvaskő;;160,589222738698820;502,145039949069770
91376;Magyarország;Szarvaskő;;;belterület;160;HUN_Szarvaskő_160;művelés alól kivett;;Borsod utca;;;14;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_003;;3323;Szarvaskő;;116,306803610622100;599,640000049807100
91377;Magyarország;Szarvaskő;;;belterület;161;HUN_Szarvaskő_161;művelés alól kivett;;Borsod utca;;;16;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_003;;3323;Szarvaskő;;107,302465611015050;431,289999995790370
91378;Magyarország;Szarvaskő;;;belterület;162;HUN_Szarvaskő_162;művelés alól kivett;;Borsod utca;;;18;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_003;;3323;Szarvaskő;;106,284106994228520;458,309999966397980
91379;Magyarország;Szarvaskő;;;belterület;163;HUN_Szarvaskő_163;művelés alól kivett;;Borsod utca;;;20;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_003;;3323;Szarvaskő;;109,174567070721660;662,869985400580280
91380;Magyarország;Szarvaskő;;;belterület;164;HUN_Szarvaskő_164;művelés alól kivett;;Borsod utca;;;22;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_003;;3323;Szarvaskő;;82,102455101671069;333,080000001639120
91381;Magyarország;Szarvaskő;;;belterület;165;HUN_Szarvaskő_165;művelés alól kivett;;Borsod utca;;;24;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_003;;3323;Szarvaskő;;91,493910346430297;521,759999969005550
91382;Magyarország;Szarvaskő;;;belterület;166;HUN_Szarvaskő_166;művelés alól kivett;Borsod utca;;;;;;;;;;;;;;;;3323;Szarvaskő;;408,786599822946470;1744,035014651909500
91383;Magyarország;Szarvaskő;;;belterület;167;HUN_Szarvaskő_167;művelés alól kivett;;Borsod utca;;;1;;;;;;;;;;Szarvaskő_002;;3323;Szarvaskő;;121,724957935325760;711,249999992735750
91384;Magyarország;Szarvaskő;;;belterület;168;HUN_Szarvaskő_168;művelés alól kivett;;Borsod utca;;;3;;;;;;;;;;Szarvaskő_002;;3323;Szarvaskő;;104,729087582308340;658,349999943561780
91385;Magyarország;Szarvaskő;;;belterület;169;HUN_Szarvaskő_169;művelés alól kivett;;Borsod utca;;;5;;;;;;;;;;Szarvaskő_002;;3323;Szarvaskő;;101,224684009181330;636,235000049471860
91386;Magyarország;Szarvaskő;;;belterület;17;HUN_Szarvaskő_17;művelés alól kivett;;Fő utca;;;16;;;;;;;;;;Szarvaskő_007;;3323;Szarvaskő;;152,289072031381640;1080,419960013193100
91387;Magyarország;Szarvaskő;;;belterület;170;HUN_Szarvaskő_170;művelés alól kivett;;Borsod utca;;;7;;;;;;;;;;Szarvaskő_002;;3323;Szarvaskő;;97,762303005038845;600,670000054985390
91388;Magyarország;Szarvaskő;;;belterület;171;HUN_Szarvaskő_171;művelés alól kivett;;Borsod utca;;;9;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_002;;3323;Szarvaskő;;283,690161870655290;2931,019999883250000
91389;Magyarország;Szarvaskő;;;belterület;172;HUN_Szarvaskő_172;művelés alól kivett;;Borsod utca;;;26;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_004;;3323;Szarvaskő;;177,987342334547240;1483,075000015646100
91390;Magyarország;Szarvaskő;;;belterület;173/2;HUN_Szarvaskő_173/2;művelés alól kivett;Vasút utca;;;;;;;;;;;;;;;;3323;Szarvaskő;;338,085259771317620;3146,070000014379700
91391;Magyarország;Szarvaskő;;;belterület;173/3;HUN_Szarvaskő_173/3;művelés alól kivett;;Vasút utca;;;1;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_003;;3323;Szarvaskő;;446,603429316968170;4902,585000147446400
91392;Magyarország;Szarvaskő;;;belterület;173/4;HUN_Szarvaskő_173/4;művelés alól kivett;;Vasút utca;;;;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_003;;3323;Szarvaskő;;107,394828198993790;644,314999999888190
91393;Magyarország;Szarvaskő;;;belterület;173/5;HUN_Szarvaskő_173/5;művelés alól kivett;;;;87;;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;;;3323;Szarvaskő;;1148,530386956872700;9410,464812550206300
91394;Magyarország;Szarvaskő;;;belterület;173/6;HUN_Szarvaskő_173/6;művelés alól kivett;;Vasút utca;;;;;;HUBN20004;Szarvaskő;HUBN10003;Bükk-hegység és peremterületei;;;;Szarvaskő_016;;3323;Szarvaskő;;559,013207990834420;4907,175204811141200
