OBJECTID;Orszag_nev;Telepules_nev;Telepulesresz_nev;Tortenelmi_varosresz_nev;Fekves;Epulettipus;Epulet_altipus;Funkcio;Intezmenynev;Hazszam;Epulet_betujel;Helyrajziszam_teljes_epulet;Helyrajziszam_egyedi_epulet;Utcanev_epulet;Muemlek_nev;Muemlek_tipus;Muemlek_torzsszam;Epuletenergetikai_tipus;Epuletenergetikai_szintszam;Epuletenergetikai_tombazonosito;Aga_est;Abm_est;Ath_est;Ael_est;Aelcs_est;Asz_est;Aol_est;Tn_Tbr;E0;Evil;Ee_cs;Evil_cs;Tbr;Ter;Muemleki_vedettseg;Tortenelmi_varosresz_nev_modositott;Iranyitoszam;KSH_korzet;Epulet_azonosito;Hazszam_epulettomb;Epulet_szamozas_egyeb;Postacim_epulet;Shape_Length;Shape_Area
63778;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;20;;243;HUN_Szarvaskő_243;Rózsa utca;;;;L2;2,300000000000000;Szarvaskő_023;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;400,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;187,105000053979470;140,328750040484610;nem;;3323;Szarvaskő;Szarvaskő_00335;;;Szarvaskő, Rózsa utca 20;37,078654364092813;81,350000023469335
63779;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;30;;248;HUN_Szarvaskő_248;Rózsa utca;;;;L5;2,300000000000000;Szarvaskő_023;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;170,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;172,212499970868210;129,159374978151160;nem;;3323;Szarvaskő;Szarvaskő_00336;;;Szarvaskő, Rózsa utca 30;34,767436707794943;74,874999987334007
63780;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;23;;220;HUN_Szarvaskő_220;Rózsa utca;;;;L2;2,300000000000000;Szarvaskő_021;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;400,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;149,293000032387650;111,969750024290730;nem;;3323;Szarvaskő;Szarvaskő_00337;;;Szarvaskő, Rózsa utca 23;34,445049737308359;64,910000014081589
63781;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;23/a;;214;HUN_Szarvaskő_214;Tölgyfa utca;;;;L4;1,800000000000000;Szarvaskő_021;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;220,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;383,129999981895080;287,347499986421330;nem;;3323;Szarvaskő;Szarvaskő_00338;;;Szarvaskő, Tölgyfa utca 23/a;58,515057570763332;212,849999989941720
63782;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;39;;273;HUN_Szarvaskő_273;Rózsa utca;;;;L1;2,000000000000000;Szarvaskő_024;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;450,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;91,840000008642676;68,880000006482007;nem;;3323;Szarvaskő;Szarvaskő_00339;;;Szarvaskő, Rózsa utca 39;27,144437972165811;45,920000004321338
63783;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;18;;242;HUN_Szarvaskő_242;Rózsa utca;;;;L2;1,000000000000000;Szarvaskő_023;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;400,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;85,369999981224538;64,027499985918411;nem;;3323;Szarvaskő;Szarvaskő_00340;;;Szarvaskő, Rózsa utca 18;38,928705143437824;85,369999981224538
63784;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;32;;250;HUN_Szarvaskő_250;Rózsa utca;;;;L3;1,000000000000000;Szarvaskő_023;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;330,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;36,914999992996457;27,686249994747342;nem;;3323;Szarvaskő;Szarvaskő_00341;;;Szarvaskő, Rózsa utca 32;24,700564014360154;36,914999992996457
63785;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;23;;213;HUN_Szarvaskő_213;Tölgyfa utca;;;;L4;1,500000000000000;Szarvaskő_021;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;220,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;155,790000021960590;116,842500016470440;nem;;3323;Szarvaskő;Szarvaskő_00342;;;Szarvaskő, Tölgyfa utca 23;43,600549841516099;103,860000014640390
63786;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;21;;221;HUN_Szarvaskő_221;Rózsa utca;;;;L2;1,000000000000000;Szarvaskő_021;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;400,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;62,780000014305116;47,085000010728834;nem;;3323;Szarvaskő;Szarvaskő_00343;;;Szarvaskő, Rózsa utca 21;32,512875897565969;62,780000014305116
63787;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;26;;200/34;HUN_Szarvaskő_200/34;Tölgyfa utca;;;;L3;1,800000000000000;Szarvaskő_001;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;330,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;263,493000030375980;197,619750022782000;nem;;3323;Szarvaskő;Szarvaskő_00344;;;Szarvaskő, Tölgyfa utca 26;55,754521640257906;146,385000016875550
63788;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;41;;271;HUN_Szarvaskő_271;Rózsa utca;;;;L3;1,500000000000000;Szarvaskő_022;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;330,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;202,950000023469330;152,212500017602000;nem;;3323;Szarvaskő;Szarvaskő_00345;;;Szarvaskő, Rózsa utca 41;51,108774946480679;135,300000015646220
63789;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;16;;241;HUN_Szarvaskő_241;Rózsa utca;;;;L2;1,000000000000000;Szarvaskő_023;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;400,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;58,110000006072219;43,582500004554163;nem;;3323;Szarvaskő;Szarvaskő_00346;;;Szarvaskő, Rózsa utca 16;30,650572121196699;58,110000006072219
